RACINE	LIBELLE	ASO	DA	LibelleDomaineActivite	GP_CAS 	LibelleGroupesDeTypePlanification	GA	LibelleGroupesActivite	DA_GP	DA_GP_GA
01M25	Epilepsie, age superieur a 17 ans	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G052	Convulsions, epilepsie	D05X03	D05X03G052
01M26	Tumeurs malignes du systeme nerveux	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G054	Prise en charge medicale des tumeurs  systeme nerveux	D05X03	D05X03G054
01M27	Autres tumeurs du systeme nerveux	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G054	Prise en charge medicale des tumeurs  systeme nerveux	D05X03	D05X03G054
01M28	Hydrocephalies	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G055	Autres affections du systeme nerveux	D05X03	D05X03G055
01M29	Anevrysmes cerebraux	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G055	Autres affections du systeme nerveux	D05X03	D05X03G055
01M30	Accidents vasculaires intracerebraux non transitoires	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G049	AVC	D05X03	D05X03G049
01M31	Autres accidents vasculaires cerebraux non transitoires	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G049	AVC	D05X03	D05X03G049
01M32	Explorations et surveillance pour affections du systeme nerveux	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G056	Explorations et surveillance pour affections du systeme nerveux	D05X03	D05X03G056
01M33	Troubles du sommeil	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G055	Autres affections du systeme nerveux	D05X03	D05X03G055
01M34	Anomalies de la demarche d'origine neurologique	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G055	Autres affections du systeme nerveux	D05X03	D05X03G055
01M35	Symptômes et autres recours aux soins de la CMD 01	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G055	Autres affections du systeme nerveux	D05X03	D05X03G055
01M36	Accidents vasculaires cerebraux non transitoires avec deces : sejours de moins de 2 jours	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G049	AVC	D05X03	D05X03G049
01M37	Autres affections de la CMD 01 avec deces : sejours de moins de 2 jours	M	D26	Activites inter specialites, suivi therapeutique d'affections connues	X24	Medecine inter specialites, Autres symptômes ou motifs medicaux	G181	Medecine inter specialites	D26X24	D26X24G181
01M38	Autres affections neurologiques concernant majoritairement la petite enfance	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G055	Autres affections du systeme nerveux	D05X03	D05X03G055
01M39	Troubles de la regulation thermique du nouveau-ne et du nourrisson	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G055	Autres affections du systeme nerveux	D05X03	D05X03G055
02C02	Interventions sur la retine	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G096	Chirurgies ophtalmo lourdes	D11C16	D11C16G096
02C03	Interventions sur l'orbite	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G096	Chirurgies ophtalmo lourdes	D11C16	D11C16G096
02C05	Interventions sur le cristallin avec ou sans vitrectomie	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G097	Cataractes	D11C16	D11C16G097
02C06	Interventions primaires sur l'iris	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G099	Autres chirurgies ophtalmo	D11C16	D11C16G099
02C07	Autres interventions extraoculaires, age inferieur a 18 ans	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G099	Autres chirurgies ophtalmo	D11C16	D11C16G099
02C08	Autres interventions extraoculaires, age superieur a 17 ans	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G099	Autres chirurgies ophtalmo	D11C16	D11C16G099
02C09	Allogreffes de cornee	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G098	Allogreffes de cornees	D11C16	D11C16G098
02C10	Autres interventions intraoculaires pour affections severes	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G096	Chirurgies ophtalmo lourdes	D11C16	D11C16G096
02C11	Autres interventions intraoculaires en dehors des affections severes	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G096	Chirurgies ophtalmo lourdes	D11C16	D11C16G096
02C12	Interventions sur le cristallin avec trabeculectomie	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G097	Cataractes	D11C16	D11C16G097
02C13	Interventions sur les muscles oculomoteurs, age inferieur a 18 ans	C	D11	Ophtalmologie	C16	Chirurgie Ophtalmologique et greffe de cornee	G099	Autres chirurgies ophtalmo	D11C16	D11C16G099
02M02	Hyphema	M	D11	Ophtalmologie	X10	Ophtalmologie	G100	Affections oeil	D11X10	D11X10G100
02M03	Infections oculaires aiguës severes	M	D11	Ophtalmologie	X10	Ophtalmologie	G101	Infections oeil	D11X10	D11X10G101
02M04	Affections oculaires d'origine neurologique	M	D11	Ophtalmologie	X10	Ophtalmologie	G100	Affections oeil	D11X10	D11X10G100
02M05	Autres affections oculaires, age inferieur a 18 ans	M	D11	Ophtalmologie	X10	Ophtalmologie	G100	Affections oeil	D11X10	D11X10G100
02M07	Autres affections oculaires d'origine diabetique, age superieur a 17 ans	M	D11	Ophtalmologie	X10	Ophtalmologie	G100	Affections oeil	D11X10	D11X10G100
02M08	Autres affections oculaires d'origine non diabetique, age superieur a 17 ans	M	D11	Ophtalmologie	X10	Ophtalmologie	G100	Affections oeil	D11X10	D11X10G100
02M09	Explorations et surveillance pour affections de l'oeil	M	D11	Ophtalmologie	X10	Ophtalmologie	G102	Explorations et surveillance pour affections de l'oeil	D11X10	D11X10G102
02M10	Symptômes et autres recours aux soins de la CMD 02	M	D11	Ophtalmologie	X10	Ophtalmologie	G100	Affections oeil	D11X10	D11X10G100
03C05	Reparations de fissures labiale et palatine	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G088	Autres chirurgies ORL	D10C15	D10C15G088
03C06	Interventions sur les sinus et l'apophyse mastoide, age inferieur a 18 ans	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G088	Autres chirurgies ORL	D10C15	D10C15G088
03C07	Interventions sur les sinus et l'apophyse mastoide, age superieur a 17 ans	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G088	Autres chirurgies ORL	D10C15	D10C15G088
03C09	Rhinoplasties	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G088	Autres chirurgies ORL	D10C15	D10C15G088
03C10	Amygdalectomies et/ou adenoidectomies isolees, age inferieur a 18 ans	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G087	Amygdalectomies, VG, drains transT	D10C15	D10C15G087
03C11	Amygdalectomies et/ou adenoidectomies isolees, age superieur a 17 ans	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G087	Amygdalectomies, VG, drains transT	D10C15	D10C15G087
03C12	Interventions sur les amygdales et les vegetations adenoides autres que les amygdalectomies et/ou les adenoidectomies isolees, age inferieur a 18 ans	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G087	Amygdalectomies, VG, drains transT	D10C15	D10C15G087
03C13	Interventions sur les amygdales et les vegetations adenoides autres que les amygdalectomies et/ou les adenoidectomies isolees, age superieur a 17 ans	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G087	Amygdalectomies, VG, drains transT	D10C15	D10C15G087
03C14	Drains transtympaniques, age inferieur a 18 ans	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G087	Amygdalectomies, VG, drains transT	D10C15	D10C15G087
03C15	Drains transtympaniques, age superieur a 17 ans	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G087	Amygdalectomies, VG, drains transT	D10C15	D10C15G087
03C16	Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G088	Autres chirurgies ORL	D10C15	D10C15G088
03C17	Interventions sur la bouche	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G089	Chirurgies de la bouche	D10C15	D10C15G089
03C18	Pose d'implants cochleaires	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G086	Chirurgie de l'oreille	D10C15	D10C15G086
03C19	Osteotomies de la face	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G085	Chirurgies ORL majeures	D10C15	D10C15G085
03C20	Interventions de reconstruction de l'oreille moyenne	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G086	Chirurgie de l'oreille	D10C15	D10C15G086
03C21	Interventions pour oreilles decollees	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G086	Chirurgie de l'oreille	D10C15	D10C15G086
03C24	Interventions sur les glandes salivaires	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G088	Autres chirurgies ORL	D10C15	D10C15G088
03C25	Interventions majeures sur la tête et le cou	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G085	Chirurgies ORL majeures	D10C15	D10C15G085
03C26	Autres interventions sur la tête et le cou	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G085	Chirurgies ORL majeures	D10C15	D10C15G085
03C27	Interventions sur les amygdales, en ambulatoire	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G087	Amygdalectomies, VG, drains transT	D10C15	D10C15G087
03C28	Interventions sur les vegetations adenoides, en ambulatoire	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G087	Amygdalectomies, VG, drains transT	D10C15	D10C15G087
03C29	Autres interventions sur l'oreille, le nez ou la gorge pour tumeurs malignes	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G088	Autres chirurgies ORL	D10C15	D10C15G088
03C30	Interventions sur l'oreille externe	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G086	Chirurgie de l'oreille	D10C15	D10C15G086
03K02	Affections de la bouche et des dents avec certaines extractions, reparations et protheses dentaires	C	D10	ORL, Stomatologie	K09	ORL Stomato avec Acte classant non operatoire et endoscopies	G207	actes ORL et stomato divers	D10K09	D10K09G207
03K03	Sejours comprenant une endoscopie oto-rhino-laryngologique, en ambulatoire	M	D10	ORL, Stomatologie	K09	ORL Stomato avec Acte classant non operatoire et endoscopies	G095	Endoscopies ORL, avec ou sans anesthesie	D10K09	D10K09G095
03K04	Sejours comprenant certains actes non operatoires de la CMD 03, en ambulatoire	M	D10	ORL, Stomatologie	K09	ORL Stomato avec Acte classant non operatoire et endoscopies	G207	actes ORL et stomato divers	D10K09	D10K09G207
03M02	Traumatismes et deformations du nez	C	D10	ORL, Stomatologie	X09	ORL, Stomato	G093	Pathologies ORL et Stomato autres	D10X09	D10X09G093
03M03	Otites moyennes et autres infections des voies aeriennes superieures, age inferieur a 18 ans	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G091	Infections ORL	D10X09	D10X09G091
03M04	Otites moyennes et autres infections des voies aeriennes superieures, age superieur a 17 ans	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G091	Infections ORL	D10X09	D10X09G091
03M05	Troubles de l'equilibre	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G093	Pathologies ORL et Stomato autres	D10X09	D10X09G093
03M06	Epistaxis	C	D10	ORL, Stomatologie	X09	ORL, Stomato	G093	Pathologies ORL et Stomato autres	D10X09	D10X09G093
03M07	Tumeurs malignes des oreilles, du nez, de la gorge ou de la bouche	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G092	Prise en charge medicale des tumeurs malignes ORL, Stomato	D10X09	D10X09G092
03M08	Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, age inferieur a 18 ans	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G093	Pathologies ORL et Stomato autres	D10X09	D10X09G093
03M09	Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, age superieur a 17 ans	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G093	Pathologies ORL et Stomato autres	D10X09	D10X09G093
03M10	Affections de la bouche et des dents sans certaines extractions, reparations ou protheses dentaires, age inferieur a 18 ans	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G090	Affections Cavite buccale et dents	D10X09	D10X09G090
03M11	Affections de la bouche et des dents sans certaines extractions, reparations ou protheses dentaires, age superieur a 17 ans	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G090	Affections Cavite buccale et dents	D10X09	D10X09G090
03M12	Infections aigües severes des voies aeriennes superieures, age inferieur a 18 ans	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G091	Infections ORL	D10X09	D10X09G091
03M13	Infections aigües severes des voies aeriennes superieures, age superieur a 17 ans	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G091	Infections ORL	D10X09	D10X09G091
03M14	Explorations et surveillance pour affections ORL	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G094	Explorations et surveillance pour affections ORL	D10X09	D10X09G094
03M15	Symptômes et autres recours aux soins de la CMD 03	M	D10	ORL, Stomatologie	X09	ORL, Stomato	G093	Pathologies ORL et Stomato autres	D10X09	D10X09G093
04C02	Interventions majeures sur le thorax	C	D09	Pneumologie	C05	Chir. majeure sur le thorax, l'app. respiratoire, interventions sous thoracoscopie	G076	Chirurgies thoraciques majeures	D09C05	D09C05G076
04C03	Autres interventions chirurgicales sur le systeme respiratoire	C	D09	Pneumologie	C05	Chir. majeure sur le thorax, l'app. respiratoire, interventions sous thoracoscopie	G077	Autres chirurgies thoraciques	D09C05	D09C05G077
04C04	Interventions sous thoracoscopie	C	D09	Pneumologie	C05	Chir. majeure sur le thorax, l'app. respiratoire, interventions sous thoracoscopie	G076	Chirurgies thoraciques majeures	D09C05	D09C05G076
04K02	Sejours comprenant une endoscopie bronchique, en ambulatoire	M	D09	Pneumologie	K07	Endoscopies bronchiques, avec ou sans anesthesie	G084	Endoscopies bronchiques, avec ou sans anesthesie	D09K07	D09K07G084
04M02	Bronchites et asthme, age inferieur a 18 ans	M	D09	Pneumologie	X08	Pneumologie	G078	Bronchites, bronchiolites et asthme	D09X08	D09X08G078
04M03	Bronchites et asthme, age superieur a 17 ans	M	D09	Pneumologie	X08	Pneumologie	G078	Bronchites, bronchiolites et asthme	D09X08	D09X08G078
04M04	Pneumonies et pleuresies banales, age inferieur a 18 ans	M	D09	Pneumologie	X08	Pneumologie	G080	Infections respiratoires	D09X08	D09X08G080
04M05	Pneumonies et pleuresies banales, age superieur a 17 ans	M	D09	Pneumologie	X08	Pneumologie	G080	Infections respiratoires	D09X08	D09X08G080
04M06	Infections et inflammations respiratoires, age inferieur a 18 ans	M	D09	Pneumologie	X08	Pneumologie	G080	Infections respiratoires	D09X08	D09X08G080
04M07	Infections et inflammations respiratoires, age superieur a 17 ans	M	D09	Pneumologie	X08	Pneumologie	G080	Infections respiratoires	D09X08	D09X08G080
04M08	Bronchopneumopathies chroniques	M	D09	Pneumologie	X08	Pneumologie	G078	Bronchites, bronchiolites et asthme	D09X08	D09X08G078
04M09	Tumeurs de l'appareil respiratoire	M	D09	Pneumologie	X08	Pneumologie	G081	Prise en charge medicale des tumeurs de l'appareil respiratoire	D09X08	D09X08G081
04M10	Embolies pulmonaires	M	D09	Pneumologie	X08	Pneumologie	G079	Embolies pulmonaires et detresses respiratoires	D09X08	D09X08G079
04M11	Signes et symptômes respiratoires	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
04M12	Pneumothorax	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
04M13	Oedeme pulmonaire et detresse respiratoire	M	D09	Pneumologie	X08	Pneumologie	G079	Embolies pulmonaires et detresses respiratoires	D09X08	D09X08G079
04M14	Maladies pulmonaires interstitielles	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
04M15	Autres diagnostics portant sur le systeme respiratoire	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
04M16	Traumatismes thoraciques	C	D09	Pneumologie	X08	Pneumologie	G078	Bronchites, bronchiolites et asthme	D09X08	D09X08G078
04M17	Epanchements pleuraux	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
04M18	Bronchiolites	M	D09	Pneumologie	X08	Pneumologie	G078	Bronchites, bronchiolites et asthme	D09X08	D09X08G078
04M19	Tuberculoses	M	D09	Pneumologie	X08	Pneumologie	G080	Infections respiratoires	D09X08	D09X08G080
04M20	Bronchopneumopathies chroniques surinfectees	M	D09	Pneumologie	X08	Pneumologie	G080	Infections respiratoires	D09X08	D09X08G080
04M21	Suivis de greffe pulmonaire	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
04M22	Explorations et surveillance pour affections de l'appareil respiratoire	M	D09	Pneumologie	X08	Pneumologie	G083	Explorations et surveillance pour affections de l'appareil respiratoire	D09X08	D09X08G083
04M23	Autres symptômes et recours aux soins de la CMD 04	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
04M24	Affections de la CMD 04 avec deces : sejours de moins de 2 jours	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
04M25	Grippes	M	D09	Pneumologie	X08	Pneumologie	G080	Infections respiratoires	D09X08	D09X08G080
04M26	Fibroses kystiques avec manifestations pulmonaires	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
04M27	Autres affections respiratoires concernant majoritairement la petite enfance	M	D09	Pneumologie	X08	Pneumologie	G082	Affections respiratoires, autres	D09X08	D09X08G082
05C02	Chirurgie de remplacement valvulaire avec circulation extracorporelle et avec catheterisme cardiaque ou coronarographie	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C04	Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens	G061	Chirurgies valvulaires	D07C04	D07C04G061
05C03	Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans catheterisme cardiaque, ni coronarographie	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C04	Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens	G061	Chirurgies valvulaires	D07C04	D07C04G061
05C04	Pontages aortocoronariens avec catheterisme cardiaque ou coronarographie	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C04	Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens	G062	Pontages coronaires	D07C04	D07C04G062
