ACTE	LIBELLE	CHAP 1	CHAP 2	CHAP 3	CHAP 4
HFAD001	Dilatation du trajet d'une gastrostomie cutanée, avec pose d'un bouton de gastrostomie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Gastrostomie
HFAE001	Dilatation du pylore, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Dilatation de l'estomac et du duodénum
HFCB001	Gastrostomie, par voie transcutanée avec guidage endoscopique	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Gastrostomie
HFKD001	Changement d'une sonde de gastrostomie, par voie externe sans guidage	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Gastrostomie
HFKE001	Changement d'une sonde de gastrostomie ou de gastrojéjunostomie, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Gastrostomie
HFLE001	Pose d'une sonde gastrique, duodénale ou jéjunale, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif
HFLE002	Pose d'un ballonnet intragastrique pour obésité morbide, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Actes thérapeutiques sur l'estomac pour obésité morbide
HGAE001	Dilatation d'une sténose iléale, par iléoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'intestin grêle	Dilatation de l'intestin grêle
HGFE001	Exérèse d'un polype de plus de 1cm de diamètre ou de 4 polypes ou plus de l'intestin grêle, par iléoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'intestin grêle	Exérèse endoscopique de lésion de l'intestin grêle
HGFE002	Exérèse de 1 à 3 polypes de moins de 1cm de diamètre de l'intestin grêle, par iléoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'intestin grêle	Exérèse endoscopique de lésion de l'intestin grêle
HGFE003	Exérèse d'un polype de plus de 1cm de diamètre ou de 4 polypes ou plus de l'intestin grêle, par jéjunoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'intestin grêle	Exérèse endoscopique de lésion de l'intestin grêle
HGFE004	Exérèse de 1 à 3 polypes de moins de 1cm de diamètre de l'intestin grêle, par jéjunoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'intestin grêle	Exérèse endoscopique de lésion de l'intestin grêle
HGFE005	Exérèse de la papille duodénale majeure, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Autres actes thérapeutiques sur l'estomac et le duodénum
HGGE001	Ablation d'une endoprothèse du duodénum, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Pose, ablation et changement d'une endoprothèse de l'estomac et du duodénum
HGLE001	Pose d'une endoprothèse du duodénum, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Pose, ablation et changement d'une endoprothèse de l'estomac et du duodénum
HGNE001	Séance de destruction de lésion du duodénum, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'estomac et le duodénum	Autres actes thérapeutiques sur l'estomac et le duodénum
HGQE001	Entéroscopie jéjunale avec entéroscopie iléale	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HGQE002	Duodénoscopie par appareil à vision latérale	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HGQE003	Entéroscopie jéjunale [Jéjunoscopie]	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HGQE005	Entéroscopie iléale [Iléoscopie]	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HGQJ001	Échoendoscopie duodénale avec biopsie transduodénale guidée	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Échoendoscopie de l'appareil digestif	0
HGQJ002	Échoendoscopie duodénale sans biopsie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Échoendoscopie de l'appareil digestif	0
HGSE001	Hémostase de lésion intestinale sans laser, par jéjunoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'intestin grêle	Hémostase endoscopique de lésion de l'intestin grêle
HGSE002	Hémostase de lésion intestinale avec laser, par jéjunoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'intestin grêle	Hémostase endoscopique de lésion de l'intestin grêle
HGSE003	Hémostase de lésion intestinale sans laser, par iléoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'intestin grêle	Hémostase endoscopique de lésion de l'intestin grêle
HGSE004	Hémostase de lésion intestinale avec laser, par iléoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'intestin grêle	Hémostase endoscopique de lésion de l'intestin grêle
HHAE001	Dilatation d'une sténose du côlon et/ou du rectum, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Dilatation et pose d'endoprothèse du côlon
HHEE001	Détorsion d'un volvulus du côlon, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Exsufflation et détorsion du côlon
HHFE001	Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par rectosigmoïdoscopie ou par coloscopie partielle	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Exérèse endoscopique de lésion du côlon
HHFE002	Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par coloscopie totale	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Exérèse endoscopique de lésion du côlon
HHFE004	Exérèse d'un polype de plus de 1cm de diamètre ou de 4 polypes ou plus du côlon et/ou du rectum, parcoloscopie totale	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Exérèse endoscopique de lésion du côlon
HHFE005	Exérèse d'un polype de plus de 1cm de diamètre ou de 4 polypes ou plus du côlon et/ou du rectum, parrectosigmoïdoscopie ou par coloscopie partielle	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Exérèse endoscopique de lésion du côlon
HHFE006	Séance de mucosectomie rectocolique, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Exérèse endoscopique de lésion du côlon
HHGE002	Ablation de corps étranger du côlon et/ou du rectum, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le rectum	Ablation de corps étranger du rectum
HHGE010	Ablation d'une endoprothèse du côlon, par coloscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Dilatation et pose d'endoprothèse du côlon
HHJE001	Exsufflation du côlon, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Exsufflation et détorsion du côlon
HHLE005	Pose d'une endoprothèse du côlon, par coloscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Dilatation et pose d'endoprothèse du côlon
HHNE001	Séance de destruction de lésion du côlon et/ou du rectum sans laser, par coloscopie totale	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Destruction endoscopique de lésion du côlon
HHNE002	Séance de destruction de lésion du côlon et/ou du rectum avec laser, par coloscopie totale	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Destruction endoscopique de lésion du côlon
HHNE003	Séance de destruction de lésion du côlon et/ou du rectum avec laser, par rectosigmoïdoscopie ou parcoloscopie partielle	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Destruction endoscopique de lésion du côlon
HHNE004	Séance de destruction de lésion du côlon et/ou du rectum sans laser, par rectosigmoïdoscopie ou parcoloscopie partielle	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Destruction endoscopique de lésion du côlon
HHQE002	Coloscopie totale, avec franchissement de l'orifice iléocolique	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HHQE003	Exploration complète du côlon après colectomie droite, par endoscopie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HHQE004	Coloscopie partielle au delà du côlon sigmoïde	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HHQE005	Coloscopie totale avec visualisation du bas-fond cæcal, sans franchissement de l'orifice iléocolique	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HHQJ002	Échoendoscopie colique sans biopsie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Échoendoscopie de l'appareil digestif	0
HHSE001	Hémostase de lésion du côlon avec laser, par rectosigmoïdoscopie ou par coloscopie partielle	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Hémostase endoscopique de lésion du côlon
HHSE002	Hémostase de lésion du côlon sans laser, par coloscopie totale	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Hémostase endoscopique de lésion du côlon
HHSE003	Hémostase de lésion du côlon avec laser, par coloscopie totale	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Hémostase endoscopique de lésion du côlon
HHSE004	Hémostase de lésion du côlon sans laser, par rectosigmoïdoscopie ou par coloscopie partielle	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur le côlon	Hémostase endoscopique de lésion du côlon
HJQE001	Rectosigmoïdoscopie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HJQE002	Rectoscopie au tube rigide	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HJQJ001	Échoendoscopie anorectale avec biopsie transanorectale guidée	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Échoendoscopie de l'appareil digestif	0
HJQJ002	Échoendoscopie anorectale sans biopsie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Échoendoscopie de l'appareil digestif	0
HKQE001	Anuscopie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HMAE002	Dilatation rétrograde de conduit biliaire, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le foie et les voies biliaires	Dilatation des conduits biliaires	0
HMGE001	Ablation d'endoprothèse biliaire et/ou pancréatique, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le foie et les voies biliaires	Ablation et changement de drain et d'endoprothèse biliaire	0
HMGE002	Ablation de calcul de la voie biliaire principale, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le foie et les voies biliaires	Ablation de calcul des voies biliaires	0
HMJE001	Drainage de conduit biliaire ou pancréatique par voie nasale, au cours d'une endoscopie oeso-gastro-duodénale	ANESTHÉSIES CPLMTAIRES ET GESTES CPLMTAIRES	Gestes complémentaires	Gestes complémentaires sur l'appareil digestif	Autres gestes complémentaires sur l'appareil digestif
HMKE001	Changement d'une endoprothèse biliaire, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le foie et les voies biliaires	Ablation et changement de drain et d'endoprothèse biliaire	0
HMKE002	Changement de plusieurs endoprothèses biliaires, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le foie et les voies biliaires	Ablation et changement de drain et d'endoprothèse biliaire	0
HMLE002	Pose d'une endoprothèse biliaire, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le foie et les voies biliaires	Pose d'endoprothèse biliaire	0
HMLE003	Pose de plusieurs endoprothèses biliaires, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le foie et les voies biliaires	Pose d'endoprothèse biliaire	0
HMNE001	Lithotritie mécanique des conduits biliaires, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le foie et les voies biliaires	Lithotritie biliaire	0
HMPE001	Section du versant biliaire du muscle sphincter de l'ampoule hépatopancréatique [sphincter d'Oddi],par oeso-gastro-duodénoscopie [Sphinctérotomie biliaire endoscopique]	APPAREIL DIGESTIF	Actes thérapeutiques sur le foie et les voies biliaires	Drainage des conduits biliaires	0
HMQH001	Cholangioscopie, par voie buccale	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie des conduits biliaires et pancréatiques
HMQH003	Cholangiographie rétrograde avec infundibulotomie [ponction diathermique de l'infundibulum biliaire]ou précoupe de la papille duodénale majeure, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Radiographie de l'appareil digestif	Radiographie des conduits biliaires et pancréatiques
HMQH005	Cholangiopancréatographie rétrograde sans manométrie oddienne, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Radiographie de l'appareil digestif	Radiographie des conduits biliaires et pancréatiques
HMQH007	Cholangiographie rétrograde, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Radiographie de l'appareil digestif	Radiographie des conduits biliaires et pancréatiques
HMQJ001	Échoendoscopie biliopancréatique sans biopsie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Échoendoscopie de l'appareil digestif	0
HMQJ002	Échoendoscopie biliopancréatique avec biopsie transbiliopancréatique guidée	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Échoendoscopie de l'appareil digestif	0
HNAE001	Dilatation du conduit pancréatique, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le pancréas	Dilatation du conduit pancréatique et pose d'endoprothèse	0
HNCE001	Anastomose entre un faux kyste du pancréas et l'estomac ou le duodénum, par oeso-gastro-duodénoscopie sans guidage [Kystogastrostomie ou kystoduodénostomie endoscopique]	APPAREIL DIGESTIF	Actes thérapeutiques sur le pancréas	Évacuation et drainage de collection pancréatique	0
HNCJ001	Anastomose entre un faux kyste du pancréas et l'estomac ou le duodénum, par oeso-gastro-duodénoscopie avec guidage échoendoscopique	APPAREIL DIGESTIF	Actes thérapeutiques sur le pancréas	Évacuation et drainage de collection pancréatique	0
HNGE001	Ablation de calcul pancréatique, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le pancréas	Ablation et destruction de calcul pancréatique	0
HNKE001	Changement d'une endoprothèse du conduit pancréatique, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le pancréas	Dilatation du conduit pancréatique et pose d'endoprothèse	0
HNLE001	Pose d'une endoprothèse du conduit pancréatique, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le pancréas	Dilatation du conduit pancréatique et pose d'endoprothèse	0
HNPE002	Section du versant pancréatique du muscle sphincter de l'ampoule hépatopancréatique [sphincter d'Oddi], par oeso-gastro-duodénoscopie [Sphinctérotomie pancréatique endoscopique]	APPAREIL DIGESTIF	Actes thérapeutiques sur le pancréas	Drainage du conduit pancréatique	0
HNPE003	Sphinctérotomie de la papille duodénale mineure [papille accessoire], par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le pancréas	Drainage du conduit pancréatique	0
HNQH003	Pancréatographie rétrograde par cathétérisme de la papille duodénale majeure, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Radiographie de l'appareil digestif	Radiographie des conduits biliaires et pancréatiques
HZHE001	Prélèvement pour analyse biologique, au cours d'une endoscopie diagnostique des voies digestives	ANESTHÉSIES CPLMTAIRES ET GESTES CPLMTAIRES	Gestes complémentaires	Gestes complémentaires sur l'appareil digestif	Prélèvement au cours d'une endoscopie du tube digestif
HZHE002	Biopsie et/ou brossage cytologique de la paroi du tube digestif ou de conduit biliopancréatique, aucours d'une endoscopie diagnostique	ANESTHÉSIES CPLMTAIRES ET GESTES CPLMTAIRES	Gestes complémentaires	Gestes complémentaires sur l'appareil digestif	Prélèvement au cours d'une endoscopie du tube digestif
HZHE004	Coloration et/ou tatouage de la paroi du tube digestif, au cours d'une endoscopie diagnostique	ANESTHÉSIES CPLMTAIRES ET GESTES CPLMTAIRES	Gestes complémentaires	Gestes complémentaires sur l'appareil digestif	Prélèvement au cours d'une endoscopie du tube digestif
HZHE005	Macrobiopsie de la paroi du tube digestif, au cours d'une endoscopie diagnostique	ANESTHÉSIES CPLMTAIRES ET GESTES CPLMTAIRES	Gestes complémentaires	Gestes complémentaires sur l'appareil digestif	Prélèvement au cours d'une endoscopie du tube digestif
