ACTES	LIBELLE
HAFA024	Pelvimandibulectomie non interruptrice, par abord cervicofacial
HAFA004	Pelvimandibulectomie interruptrice, par abord cervicofacial
HAFA002	Pelvi-glosso-mandibulectomie non interruptrice, par abord intrabuccal
HAFA026	Pelvi-glosso-mandibulectomie non interruptrice, par abord cervicofacial
HAFA017	Pelvi-glosso-mandibulectomie interruptrice, par abord cervicofacial
HAFA011	Exérèse de kyste de lèvre
HCFA007	Exérèse de petite glande salivaire [glande salivaire accessoire]
HCFA003	Exérèse de glande sublinguale, par abord direct
HCFA011	Exérèse de glande submandibulaire [Submandibulectomie] [Sousmaxillectomie], par abord cervicofacial
HCFA001	Exérèse de glande submandibulaire [Submandibulectomie] [Sousmaxillectomie] élargie à sa loge, par abord cervicofacial
HCFA004	Parotidectomie partielle sans dissection du nerf facial
HCFA008	Parotidectomie partielle avec dissection et conservation du nerf facial
HCFA009	Parotidectomie totale avec dissection et conservation du nerf facial
HCFA002	Parotidectomie totale avec résection du nerf facial
HCFA010	Parotidectomie totale avec résection du nerf facial et réparation immédiate par suture ou greffe
HCFA006	Parotidectomie totale élargie au méat acoustique externe [conduit auditif externe] et/ou à la mandibule
HCFA005	Parotidectomie totale avec exérèse du prolongement [processus] parapharyngien, par abord cervicofacial
HCFA013	Parotidectomie totale par abord cervicofacial, avec exérèse du prolongement [processus] parapharyngien par abord pharyngé
HCFA012	Exérèse de récidive de tumeur de la glande parotide avec dissection et conservation du nerf facial
HDFA020	Uvulectomie
HDFA022	Uvulovélectomie
HDFA021	Uvulovélectomie avec palatectomie partielle
HDFE002	Exérèse de lésion de l hypopharynx, par endoscopie
HDFA018	Exérèse de lésion du pharynx, par pharyngotomie
HDFE003	Résection et/ou dilatation de sténose du pharynx, par endoscopie sans laser
HDFE001	Résection et/ou dilatation de sténose du pharynx, par endoscopie avec laser
HDFA015	Résection de diverticule pharyngo oesophagien avec myotomie extramuqueuse, par cervicotomie
HDFA014	Résection de récidive de diverticule pharyngo oesophagien, par cervicotomie
HDFA002	Oropharyngectomie latérale avec amygdalectomie, par abord intrabuccal
HDFA008	Oropharyngectomie latérale, par cervicotomie
HDFA009	Oropharyngectomie postérieure, par abord intrabuccal
HDFA017	Oropharyngectomie postérieure, par cervicotomie
HDFA019	Oropharyngectomie par mandibulotomie
HDFA007	Oropharyngectomie par mandibulotomie avec pharyngolaryngectomie totale
HDFA004	Oropharyngectomie avec mandibulectomie partielle non interruptrice, par abord direct
HDFA011	Oropharyngectomie avec mandibulectomie partielle interruptrice, par abord cervicofacial
HDFA013	Oropharyngectomie avec mandibulectomie partielle interruptrice et pharyngolaryngectomie totale
HDFA016	Pharyngectomie latérale, par cervicotomie
HDFA012	Pharyngectomie postérieure, par cervicotomie
HDFA005	Pharyngolaryngectomie totale
HDFA003	Pharyngolaryngectomie totale étendue à la base de langue
HDFA010	Pharyngolaryngectomie totale circulaire
HDFA001	Pharyngolaryngectomie totale circulaire avec rétablissement de continuité par transplant libre de jéjunum
HDFA006	Pharyngolaryngectomie totale circulaire avec rétablissement de continuité par coloplastie rétrosternale
HFFC001	Résection partielle atypique de la paroi de l estomac n interrompant pas la continuité, par c oelioscopie
HFFA009	Résection partielle atypique de la paroi de l estomac n interrompant pas la continuité, par laparotomie
HFFA003	Gastrectomie partielle supérieure [polaire supérieure] avec rétablissement de la continuité, par laparotomie
HFFC012	Gastrectomie partielle inférieure avec anastomose gastroduodénale, par c oelioscopie
HFFA002	Gastrectomie partielle inférieure avec anastomose gastroduodénale, par laparotomie
HFFC002	Gastrectomie partielle inférieure avec anastomose gastrojéjunale, par c oelioscopie
HFFA006	Gastrectomie partielle inférieure avec anastomose gastrojéjunale, par laparotomie
HFFC017	Gastrectomie totale avec rétablissement de la continuité, par c oelioscopie
HFFA005	Gastrectomie totale avec rétablissement de la continuité, par laparotomie
HFFA008	Dégastrogastrectomie partielle avec rétablissement de la continuité, par laparotomie
HFFC003	Résection de duplication gastrique, par c oelioscopie
HFFA010	Résection de duplication gastrique, par laparotomie
HFFA007	Résection de duplication gastroduodénale sans dérivation du conduit biliaire commun, par laparotomie
HFFA004	Résection de duplication gastroduodénale avec dérivation du conduit biliaire commun, par laparotomie
HGFE005	Exérèse de la papille duodénale majeure, par  oeso-gastro-duodénoscopie
HGFA014	Exérèse de la papille duodénale majeure, par laparotomie
HGFE004	Exérèse de 1 à 3 polypes de moins de 1cm de diamètre de l intestin grêle, par jéjunoscopie
HGFE002	Exérèse de 1 à 3 polypes de moins de 1cm de diamètre de l intestin grêle, par iléoscopie
HGFE003	Exérèse d un polype de plus de 1cm de diamètre ou de 4 polypes ou plus de l intestin grêle, par jéjunoscopie
HGFE001	Exérèse d un polype de plus de 1cm de diamètre ou de 4 polypes ou plus de l intestin grêle, par iléoscopie
HGFA001	Résection de l angle duodénojéjunal avec rétablissement de la continuité, par laparotomie
HGFA005	Résection segmentaire unique de l intestin grêle pour occlusion, par laparotomie
HGFC014	Résection segmentaire unique de l intestin grêle sans rétablissement de la continuité, en dehors de l occlusion, par c oelioscopie
HGFA003	Résection segmentaire unique de l intestin grêle sans rétablissement de la continuité, en dehors de l occlusion, par laparotomie
HGFC021	Résection segmentaire unique de l intestin grêle avec rétablissement de la continuité, en dehors de l occlusion, par c oelioscopie
HGFA007	Résection segmentaire unique de l intestin grêle avec rétablissement de la continuité, en dehors de l occlusion, par laparotomie
HGFC016	Résection segmentaire multiple de l intestin grêle, par c oelioscopie
HGFA004	Résection segmentaire multiple de l intestin grêle, par laparotomie
HGFA013	Résection totale de l intestin grêle, par laparotomie
HGFA012	Résection de l intestin grêle et/ou du côlon pour péritonite néonatale, par laparotomie
HGFC001	Exérèse de duplication de l intestin grêle sans résection intestinale, par c oelioscopie
HGFA010	Exérèse de duplication de l intestin grêle sans résection intestinale, par laparotomie
HGFA011	Exérèse de duplication de l intestin grêle avec résection intestinale, par laparotomie
HGFA008	Résection segmentaire d une atrésie unique de l intestin grêle avec rétablissement de la continuité, par laparotomie
HGFA009	Résection segmentaire d une atrésie étagée de l intestin grêle avec rétablissement de la continuité, par laparotomie
HGFC002	Résection du diverticule iléal [de Meckel], par c oelioscopie
HGFA006	Résection du diverticule iléal [de Meckel], par laparotomie
HGPA005	Duodénotomie exploratrice, par laparotomie
HGPA003	Entérotomie exploratrice, par laparotomie
HGPC006	Entérotomie à visée thérapeutique, par c oelioscopie
HGPA002	Entérotomie à visée thérapeutique, par laparotomie
HGPH001	Désobstruction de l intestin grêle par lavement intestinal pour iléus méconial, avec contrôle radiologique
HGPA006	Désobstruction de l intestin grêle pour iléus méconial, par laparotomie
HGPC005	Ablation d un cathéter de dialyse péritonéale, par c oelioscopie
HGPC015	Libération étendue de l intestin grêle [Entérolyse étendue] pour occlusion aigüe, par c oelioscopie
HGPA004	Libération étendue de l intestin grêle [Entérolyse étendue] pour occlusion aigüe, par laparotomie
HHFE001	Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par rectosigmoïdoscopie ou par coloscopie partielle
HHFE002	Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par coloscopie totale
HHFE005	Exérèse d un polype de plus de 1cm de diamètre ou de 4 polypes ou plus du côlon et/ou du rectum, par rectosigmoïdoscopie ou par coloscopie partielle
HHFE004	Exérèse d un polype de plus de 1cm de diamètre ou de 4 polypes ou plus du côlon et/ou du rectum, par coloscopie totale
HHFC001	Exérèse de polype du côlon par coloscopie, avec contrôle c oelioscopique
HHFE006	Séance de mucosectomie rectocolique, par endoscopie
HHFA026	Colectomie droite sans rétablissement de la continuité, par laparotomie
HHFA009	Colectomie droite avec rétablissement de la continuité, par laparotomie
HHFA008	Colectomie droite avec rétablissement de la continuité, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie
HHFA018	Colectomie transverse, par laparotomie
HHFA023	Colectomie transverse, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie
HHFA014	Colectomie gauche sans libération de l angle colique gauche, sans rétablissement de la continuité, par laparotomie
HHFA017	Colectomie gauche sans libération de l angle colique gauche, avec rétablissement de la continuité, par laparotomie
HHFA010	Colectomie gauche sans libération de l angle colique gauche, avec rétablissement de la continuité, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie
HHFA024	Colectomie gauche avec libération de l angle colique gauche, sans rétablissement de la continuité, par laparotomie
HHFA006	Colectomie gauche avec libération de l angle colique gauche, avec rétablissement de la continuité, par laparotomie
HHFA002	Colectomie gauche avec libération de l angle colique gauche, avec rétablissement de la continuité, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie
HHFA021	Colectomie totale avec conservation du rectum, sans rétablissement de la continuité, par laparotomie
HHFA005	Colectomie totale avec conservation du rectum, sans rétablissement de la continuité, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie
HHFA022	Colectomie totale avec conservation du rectum, avec anastomose iléorectale, par laparotomie
HHFA004	Colectomie totale avec conservation du rectum, avec anastomose iléorectale, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie
HHFA030	Coloproctectomie totale sans rétablissement de la continuité, par laparotomie
HHFA029	Coloproctectomie totale sans rétablissement de la continuité, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie
HHFA031	Coloproctectomie totale avec anastomose iléoanale, par laparotomie
HHFA028	Coloproctectomie totale avec anastomose iléoanale, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie
HHFA003	Résection du côlon pour malformation congénitale avec rétablissement de la continuité, par laparotomie
HHFA027	Résection complète d un prolapsus colorectal extériorisé, avec anastomose coloanale et myorraphie du plancher pelvien
HHPC001	Colotomie exploratrice, par c oelioscopie
HHPA002	Colotomie exploratrice, par laparotomie
HHPC002	Colotomie à visée thérapeutique, par c oelioscopie
HHPA001	Colotomie à visée thérapeutique, par laparotomie
HJFD002	Exérèse de tumeur du rectum, par voie anale
HJFA003	Exérèse de tumeur du rectum, par abord transsphinctérien
HJFA018	Exérèse de tumeur du rectum, par abord transsacrococcygien [de Kraske]
HJFA013	Résection d une fistule rectovaginale acquise, avec fermeture en un temps par suture musculaire et lambeau d avancement, par abord périnéal
HJFC031	Résection rectosigmoïdienne dépassant le cul-de-sac de Douglas, sans rétablissement de la continuité, par c oelioscopie
HJFA011	Résection rectosigmoïdienne dépassant le cul-de-sac de Douglas, sans rétablissement de la continuité, par laparotomie
HJFA002	Résection rectosigmoïdienne avec anastomose colorectale infrapéritonéale, par laparotomie
HJFA004	Résection rectosigmoïdienne avec anastomose colorectale infrapéritonéale, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie
HJFA006	Résection rectosigmoïdienne par laparotomie, avec anastomose coloanale par voie anale ou par abord transsphinctérien
HJFA017	Résection rectosigmoïdienne par c oelioscopie ou par laparotomie avec préparation par c oelioscopie, avec anastomose coloanale par voie anale
HJFA001	Résection rectocolique avec abaissement colique rétrorectal par laparotomie, avec anastomose colorectale par voie anale
HJFA005	Amputation du rectum, par abord périnéal
HJFA007	Amputation du rectum, par laparotomie et par abord périnéal
HJFA019	Amputation du rectum, par c oelioscopie ou par laparotomie avec préparation par c oelioscopie et par abord périnéal
HJFA014	Exérèse de moignon rectal résiduel, par abord périnéal
HJFC023	Proctectomie secondaire par c oelioscopie avec anastomose iléoanale par voie transanale, après colectomie totale initiale
HJFA012	Proctectomie secondaire par laparotomie avec anastomose iléoanale par voie transanale, après colectomie totale initiale
HJFA008	Résection circonférentielle de la muqueuse d un prolapsus rectal et plicature de la musculeuse, par abord périnéal
HJFA009	Résection circonférentielle de la muqueuse d un prolapsus rectal et plicature de la musculeuse, avec réduction d hédrocèle par abord périnéal
HJFD004	Résection de la muqueuse rectale avec plicature hémicirconférentielle antérieure de la musculeuse, par voie anale
HJFD001	Résection de la muqueuse rectale avec plicature hémicirconférentielle antérieure de la musculeuse par voie anale, avec anoplastie muqueuse postérieure
HJFD005	Résection de la muqueuse rectale avec plicature hémicirconférentielle antérieure de la musculeuse par voie anale, avec hémorroïdectomie pédiculaire
HJFC002	Résection rectosigmoïdienne pour aganglionose congénitale par c oelioscopie, avec rétablissement de la continuité par voie anale
HJFA020	Résection rectosigmoïdienne pour aganglionose congénitale par laparotomie, avec rétablissement de la continuité par voie anale
HJFD003	Résection rectosigmoïdienne pour aganglionose congénitale avec rétablissement de la continuité, par voie anale
HJFC001	Résection rectocolique subtotale pour aganglionose congénitale par c oelioscopie, avec rétablissement de la continuité par voie anale
HJFA016	Résection rectocolique subtotale pour aganglionose congénitale par laparotomie, avec rétablissement de la continuité par laparotomie ou par voie anale
HJFC003	Résection rectocolique totale pour aganglionose congénitale par c oelioscopie, avec rétablissement de la continuité par voie anale
HJFA015	Résection rectocolique totale pour aganglionose congénitale par laparotomie, avec rétablissement de la continuité par laparotomie ou par voie anale
HJFA010	Exérèse de duplication du rectum, par abord transsacrococcygien [de Kraske]
HLFA014	Séquestrectomie hépatique, par laparotomie
HLFA012	Kystectomie ou périkystectomie hépatique, par laparotomie
HLFA002	Résection du dôme saillant de kyste hydatique du foie, par laparotomie
HLFC003	Résection atypique du foie, par c oelioscopie
HLFA019	Résection atypique du foie, par laparotomie
HLFC004	Unisegmentectomie hépatique, par c oelioscopie
HLFA020	Unisegmentectomie hépatique, par laparotomie
HLFA003	Résection du lobe caudé [de Spigel] [segment I] du foie, par laparotomie
HLFC027	Bisegmentectomie hépatique, par c oelioscopie
HLFA009	Bisegmentectomie hépatique, par laparotomie
HLFC032	Trisegmentectomie hépatique, par c oelioscopie
HLFA006	Trisegmentectomie hépatique, par laparotomie
HLFC002	Lobectomie hépatique gauche, par c oelioscopie
HLFA011	Lobectomie hépatique gauche, par laparotomie
HLFC037	Hépatectomie gauche, par c oelioscopie
HLFA018	Hépatectomie gauche, par laparotomie
HLFA007	Hépatectomie gauche élargie au lobe caudé [de Spigel] [segment I], par laparotomie
HLFA017	Hépatectomie droite, par laparotomie
HLFA004	Hépatectomie droite élargie au lobe caudé [de Spigel] [segment I], par laparotomie
HLFA005	Lobectomie hépatique droite [Hépatectomie droite élargie au segment IV], par laparotomie
HLFA010	Hépatectomie centrale, par laparotomie
HPMP002	Contrôle radiologique secondaire de position et/ou de fonctionnement d un drain péritonéal, d un cathéter de dialyse péritonéale ou d une dérivation péritonéojugulaire, avec opacification par produit de contraste
HPML001	Contrôle radio-isotopique d un cathéter intrapéritonéal
HMFC004	Cholécystectomie, par c oelioscopie
HMFA007	Cholécystectomie, par laparotomie
HMFC001	Cholécystectomie avec ablation transcystique de calcul de la voie biliaire principale, par c oelioscopie
HMFA004	Cholécystectomie avec ablation transcystique de calcul de la voie biliaire principale, par laparotomie
HMFC002	Cholécystectomie avec ablation de calcul de la voie biliaire principale par cholédochotomie, par c oelioscopie
HMFA003	Cholécystectomie par c oelioscopie, avec ablation de calcul de la voie biliaire principale par cholédochotomie, par laparotomie
HMFA008	Cholécystectomie avec ablation de calcul de la voie biliaire principale par cholédochotomie, par laparotomie
HMFC003	Cholécystectomie avec cholédochogastrostomie ou cholédochoduodénostomie, par c oelioscopie
HMFA006	Cholécystectomie par c oelioscopie, avec cholédochoduodénostomie par laparotomie
HMFA002	Cholécystectomie avec cholédochogastrostomie ou cholédochoduodénostomie, par laparotomie
HMFC005	Cholécystectomie avec cholédochojéjunostomie, par c oelioscopie
HMFA005	Cholécystectomie par c oelioscopie, avec cholédochojéjunostomie par laparotomie
HMFA001	Cholécystectomie avec cholédochojéjunostomie, par laparotomie
HMFA009	Résection de la voie biliaire principale pédiculaire avec anastomose biliodigestive, par laparotomie
HMFA010	Résection de la voie biliaire principale pédiculaire et intrapancréatique avec anastomose biliodigestive, par laparotomie
HNFC027	Nécrosectomie pancréatique, par c oelioscopie
HNFA012	Nécrosectomie pancréatique, par laparotomie
HNFC001	Exérèse de tumeur du pancréas, par c oelioscopie
HNFA005	Exérèse de tumeur du pancréas, par laparotomie
HNFC028	Pancréatectomie gauche avec conservation de la rate, par c oelioscopie
HNFA008	Pancréatectomie gauche avec conservation de la rate, par laparotomie
HNFA002	Pancréatectomie gauche avec conservation de la rate, avec anastomose pancréatojéjunale ou pancréaticojéjunale, par laparotomie
HNFC002	Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche], par c oelioscopie
HNFA013	Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche], par laparotomie
HNFA010	Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche] avec anastomose pancréatojéjunale ou pancréaticojéjunale, par laparotomie
HNFA001	Isthmectomie pancréatique avec rétablissement de continuité du conduit pancréatique, par laparotomie
HNFA011	Pancréatectomie totale ou subtotale avec conservation du duodénum, sans splénectomie, par laparotomie
HNFA006	Pancréatectomie totale ou subtotale avec conservation du duodénum et splénectomie, par laparotomie
HNFA007	Duodénopancréatectomie céphalique, par laparotomie
HNFA004	Duodénopancréatectomie totale avec splénectomie [Splénopancréatectomie totale], par laparotomie
HNFA009	Prélèvement d un greffon pancréatique, chez un sujet en état de mort encéphalique
HPMB001	Création d un pneumopéritoine à visée thérapeutique, par voie transcutanée
HPFC001	Exérèse de lésion d un repli péritonéal [méso] sans résection intestinale, par c oelioscopie
HPFA003	Exérèse de lésion d un repli péritonéal [méso] sans résection intestinale, par laparotomie
HPFC002	Résection du grand omentum [grand épiploon] [Omentectomie], par c oelioscopie
HPFA004	Résection du grand omentum [grand épiploon] [Omentectomie], par laparotomie
HPBA001	Réduction de volume tumoral d une maladie gélatineuse du péritoine, par laparotomie
HPFC007	Résection ou cloisonnement du cul-de-sac recto-utérin [de Douglas], par c oelioscopie
HPFA001	Résection ou cloisonnement du cul-de-sac recto-utérin [de Douglas], par laparotomie
HPMA003	Réparation de perte de substance par lambeau pédiculé de grand omentum [épiploon], en situation extraabdominale
HPMA002	Réparation de perte de substance par lambeau libre de grand omentum [épiploon], avec anastomoses vasculaires
HPBA002	Interposition ou apposition de grand omentum [grand épiploon], au cours d une intervention intrathoracique
HPMA001	Épiploplastie intraabdominale par libération de la grande courbure gastrique avec pédiculisation sur un pédicule gastroépiploïque, au cours d une intervention par laparotomie
JAFC008	Résection de kyste non parasitaire du rein, par c oelioscopie ou par rétropéritonéoscopie
