ACTE	LIBELLE	TYPE
JHSB001	Ligature, section ou résection unilatérale ou bilatérale du conduit déférent, par voie transcutanée	SE2
LHNH001	Thermocoagulation de facettes articulaires de vertèbre, par voie transcutanée avec guidage radiologique.	SE2
MDGB001	Ablation de matériel d’ostéosynthèse enfoui de la main, par voie transcutanée sans guidage.	SE2
MHDB001	Arthrorise temporaire d’une articulation métacarpophalangienne ou interphalangienne d’un doigt par broche, par voie trans-cutanée.	SE2
NJAB001	Allongement du tendon calcanéen [d’Achille], par voie transcutanée.	SE2
NJMB001	Réparation d’une rupture du tendon calcanéen [d’Achille], par voie transcutanée.	SE2
PAGB002	Ablation de matériel d’ostéosynthèse enfoui, par voie transcutanée sans guidage.	SE2
PAGH001	Ablation de matériel d’ostéosynthèse enfoui, par voie transcutanée avec guidage radiologique.	SE2
PDFA001	Exérèse de lésion fasciale et/ou sousfasciale des tissus mous, sans dissection d’un gros tronc vasculaire ou nerveux.	SE2
QAGA004	Ablation d’un corps étranger profond des tissus mous du visage ou des mains.	SE2
QZFA001	Exérèse de 2 à 5 lésions souscutanées susfasciales de moins de 3 cm de grand axe.	SE2
QZFA002	Exérèse d’une lésion souscutanée susfasciale de moins de 3 cm de grand axe.	SE2
QZFA005	Exérèse de 6 lésions souscutanées susfasciales ou plus de moins de 3 cm de grand axe.	SE2
QZFA007	Exérèse de lésion souscutanée susfasciale de 3 cm à 10 cm de grand axe.	SE2
QZGA003	Ablation d’un corps étranger profond des tissus mous, en dehors du visage et des mains.	SE2
QZGA006	Ablation de plusieurs corps étrangers profonds de la peau et des tissus mous, en dehors du visage et des mains.	SE2
AGLB001	Injection péridurale [épidurale] d’agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique.	SE3
AHLB003	Infiltration thérapeutique unilatérale ou bilatérale du nerf grand occipital [grand nerf occipital d’Arnold].	SE3
AHLB015	Infiltration thérapeutique de nerf de la paroi du tronc, sans stimulodétection.	SE3
AHLB016	Infiltration thérapeutique du plexus brachial.	SE3
AHLH014	Infiltration thérapeutique de nerf spinal à l’émergence rachidienne, avec guidage radiologique.	SE3
GGHB002	Biopsie de la plèvre, par voie transcutanée sans guidage.	SE3
GGJB001	Drainage d’un épanchement de la cavité pleurale, par voie transcutanée sans guidage.	SE3
GGJB002	Evacuation d’un épanchement de la cavité pleurale, par voie transcutanée sans guidage.	SE3
HPJB001	Evacuation d’un épanchement intrapéritonéal, par voie transcutanée.	SE3
JGHB001	Ponction-cytoaspiration de la prostate, par voie transrectale ou transpérinéale.	SE3
JGHB002	Biopsie de la prostate, par voie transpérinéale avec guidage au doigt.	SE3
JGHD001	Biopsie de la prostate, par voie transrectale avec guidage au doigt.	SE3
JGHJ001	Biopsie de la prostate, par voie transrectale avec guidage échographique.	SE3
JGHJ002	Biopsie de la prostate, par voie transpérinéale avec guidage échographique.	SE3
JPHJ001	Amniocentèse sur plusieurs sacs amniotiques, avec guidage échographique.	SE3
JPHJ002	Amniocentèse sur un sac amniotique unique, avec guidage échographique.	SE3
FEJF003	Saignée thérapeutique	SE4
