ACTE	CCAM_LIBELLE
HMFA005	Cholécystectomie par coelioscopie, avec cholédochojéjunostomie par laparotomie 
HMFA006	Cholécystectomie par coelioscopie, avec cholédochoduodénostomie par laparotomie 
HMFC001	Cholécystectomie avec ablation transcystique de calcul de la voie biliaire principale, par cœlioscopie
HMFC002	Cholécystectomie avec ablation de calcul de la voie biliaire principale par cholédochotomie, par cœlioscopie
HMFC003	Cholécystectomie avec cholédochogastrostomie ou cholédochoduodénostomie, par coelioscopie 
HMFC004	Cholécystectomie, par cœlioscopie
HMFC005	Cholécystectomie avec cholédochojéjunostomie, par coelioscopie 
HMGC001	Ablation de calcul de la voie biliaire principale par cholédochotomie, par coelioscopie 
HMLC001	Pose d'endoprothèse biliaire par cholédochotomie, par coelioscopie 
HNCC021	Anastomose entre un faux kyste du pancréas et l'estomac [Kystogastrostomie], par coelioscopie 
HNCC033	Anastomose entre un faux kyste du pancréas et le jéjunum [Kystojéjunostomie], par coelioscopie 
HNFC001	Exérèse de tumeur du pancréas, par cœlioscopie
HNFC002	Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche], par cœlioscopie
HNFC027	Nécrosectomie pancréatique, par coelioscopie 
HNFC028	Pancréatectomie gauche avec conservation de la rate, par cœlioscopie
HNJC001	Drainage externe de collection pancréatique, par cœlioscopie
HPFC001	Exérèse de lésion d'un repli péritonéal [méso] sans résection intestinale, par cœlioscopie
HPFC002	Résection du grand omentum [grand épiploon] [Omentectomie], par cœlioscopie
HPFC007	Résection ou cloisonnement du cul-de-sac recto-utérin [de Douglas], par cœlioscopie
HPKC014	Changement d'un cathéter de dialyse péritonéale, par coelioscopie 
HPLC035	Pose ou repositionnement d'un cathéter intrapéritonéal pour dialyse péritonéale, par coelioscopie 
HPNC001	Destruction et/ou exérèse de lésion endométriosique superficielle du péritoine, par cœlioscopie
HPNC001	Destruction et/ou exérèse de lésion endométriosique superficielle du péritoine, par coelioscopie 
HPPC001	Libération d'adhérences [Adhésiolyse] ni étendues ni serrées du péritoine pelvien pour stérilité chez la femme, par cœlioscopie
HPPC002	Libération d'adhérences [Adhésiolyse] étendues et/ou serrées du péritoine pelvien pour stérilité chez la femme, par cœlioscopie
HPPC003	Section de bride et/ou d'adhérences péritonéales pour occlusion intestinale aigüe, par cœlioscopie
HPPC004	Libération de l'extrémité distale du cathéter d'un système diffuseur implanté pour insulinothérapie intrapéritonéale, par coelioscopie 
HPQC001	Exploration du petit bassin [pelvis] féminin, par pélycoscopie [culdoscopie] [coelioscopie transvaginale] 
HPSC001	Ligature du processus vaginal du péritoine [canal péritonéovaginal], par coelioscopie 
JAFC001	Néphro-urétérectomie totale, par cœlioscopie ou par rétropéritonéoscopie
JAFC002	Héminéphrectomie avec urétérectomie partielle, par coelioscopie ou par rétropéritonéoscopie 
JAFC003	Prélèvement d'un rein sur un donneur vivant, par cœlioscopie ou par rétropéritonéoscopie
JAFC004	Binéphrectomie, par cœlioscopie ou par rétropéritonéoscopie
JAFC005	Néphrectomie partielle, par cœlioscopie ou par rétropéritonéoscopie
JAFC006	Néphrectomie totale unilatérale, par cœlioscopie ou par rétropéritonéoscopie
JAFC007	Héminéphrectomie avec urétérectomie totale, par coelioscopie ou par rétropéritonéoscopie 
JAFC008	Résection de kyste non parasitaire du rein, par cœlioscopie ou par rétropéritonéoscopie
JAFC010	Néphrectomie totale élargie à la loge rénale avec surrénalectomie, par cœlioscopie ou rétropéritonéoscopie
JAFC019	Néphrectomie totale élargie à la loge rénale, par cœlioscopie ou rétropéritonéoscopie
JAHC001	Biopsie du rein, par coelioscopie ou par rétropéritonéoscopie 
JAHC018	Section de l'isthme d'un rein en fer à cheval, par coelioscopie 
JBFC001	Résection-anastomose du bassinet et de la jonction pyélo-urétérale, par cœlioscopie ou par rétropéritonéoscopie
JBMC001	Plastie du bassinet et de la jonction pyélo-urétérale, par cœlioscopie ou par rétropéritonéoscopie
JCCC001	Urétérostomie cutanée, par coelioscopie ou par rétropéritonéoscopie 
JCCC002	Urétérostomie cutanée transintestinale par anse non détubulée, par cœlioscopie ou par rétropéritonéoscopie
JCCC003	Suture de plaie ou de rupture de l'uretère, par coelioscopie ou par rétropéritonéoscopie 
JCCC006	Réimplantation urétérovésicale unilatérale avec création de montage antireflux, par coelioscopie 
JCCC011	Réimplantation urétérovésicale bilatérale avec création de montage antireflux, par coelioscopie 
JCEC006	Réimplantation urétérovésicale unilatérale avec création de montage antireflux, par cœlioscopie
JCFC001	Urétérectomie totale, par coelioscopie ou par rétropéritonéoscopie 
JCGC001	Ablation de calcul de l'uretère pelvien, par coelioscopie ou par rétropéritonéoscopie 
JCGC002	Ablation de calcul de l'uretère iliaque, par cœlioscopie ou par rétropéritonéoscopie
JCGC003	Ablation de calcul de l'uretère lombal, par cœlioscopie ou par rétropéritonéoscopie
JCPC001	Libération de l'uretère avec intrapéritonisation ou lambeau péritonéal, par cœlioscopie ou par rétropéritonéoscopie
JCPC002	Libération de l'uretère sans intrapéritonisation, par cœlioscopie ou par rétropéritonéoscopie
JDCC016	Suture de plaie ou de rupture de vessie, par cœlioscopie
JDDC002	Cervicocystopexie indirecte au ligament pectinéal [de Cooper], par cœlioscopie
JDFC001	Exérèse de diverticule de la vessie, par coelioscopie 
JDFC023	Cystectomie partielle, par cœlioscopie
JDSC024	Fermeture de fistule vésicovaginale acquise, par coelioscopie 
JFFC001	Exérèse de lésion endométriosique de la cloison rectovaginale, par cœlioscopie
JFFC002	Exérèse de lésion de l'espace rétropéritonéal, par cœlioscopie ou par rétropéritonéoscopie
JFJC001	Évacuation de collection périrénale, par cœlioscopie ou par rétropéritonéoscopie
JGFC001	Vésiculoprostatectomie totale, par cœlioscopie
JGFC045	Exérèse des vésicules séminales, par cœlioscopie
JHEA004	Abaissement et fixation d'un testicule ectopique non palpable, par cœlioscopie et par abord inguinoscrotal
JHFC001	Orchidectomie pour cryptorchidie abdominale, par cœlioscopie
JJCC001	Salpingonéostomie ou fimbrioplastie, par cœlioscopie
JJCC002	Microperforations unilatérales ou bilatérales de l'ovaire, par pélycoscopie [culdoscopie] [coelioscopie transvaginale] 
JJCC003	Microperforations unilatérales ou bilatérales de l'ovaire, par cœlioscopie
JJCC004	Anastomose tubotubaire unilatérale ou bilatérale, par cœlioscopie
JJEC001	Détorsion de l'annexe, par cœlioscopie
JJEC002	Transposition bilatérale de l'ovaire, par cœlioscopie
JJEC003	Transposition unilatérale de l'ovaire, par cœlioscopie
JJFA010	Kystectomie ovarienne transpariétale, par laparotomie avec préparation par cœlioscopie
JJFC001	Salpingectomie partielle ou totale pour grossesse extra-utérine, par cœlioscopie
JJFC002	Exérèse de reliquat embryonnaire du ligament large, par cœlioscopie
JJFC003	Kystectomie ovarienne intrapéritonéale, par cœlioscopie
JJFC004	Résection partielle de l'ovaire, par cœlioscopie
JJFC006	Salpingectomie totale, par cœlioscopie
JJFC008	Ovariectomie unilatérale, par cœlioscopie
JJFC009	Ovariectomie bilatérale, par cœlioscopie
JJFC010	Salpingoovariectomie [Annexectomie], par cœlioscopie
JJFC011	Prélèvement d'ovocytes sur un ou deux ovaires, par coelioscopie 
JJJC001	Évacuation de collection de l'annexe ou du ligament large, par cœlioscopie
JJJC002	Expression tubaire pour évacuation tuboabdominale de grossesse extra-utérine, par cœlioscopie
JJPC001	Salpingotomie avec aspiration de grossesse extra-utérine, par cœlioscopie
JJPC002	Ovariotomie exploratrice, par cœlioscopie
JJPC003	Interruption unilatérale ou bilatérale de la perméabilité des trompes utérines, par cœlioscopie
JJPC004	Interruption unilatérale ou bilatérale de la perméabilité des trompes utérines, par pélycoscopie [culdoscopie] [coelioscopie transvaginale] 
JJQC001	Exploration antérograde unilatérale ou bilatérale de la trompe utérine [Salpingoscopie gynécologique], par cœlioscopie
JKDC001	Hystéropexie postérieure [Promontofixation], par cœlioscopie
JKDC015	Hystéropexie antérieure, par coelioscopie
JKFA006	Hystérectomie totale avec annexectomie unilatérale ou bilatérale, par cœlioscopie et par abord vaginal
JKFA018	Hystérectomie totale, par cœlioscopie et par abord vaginal
JKFA020	Colpohystérectomie totale élargie aux paramètres, par cœlioscopie et par abord vaginal
JKFC001	Myomectomie de l'utérus avec hystérotomie, par cœlioscopie
JKFC002	Hystérectomie subtotale, par cœlioscopie
JKFC003	Hystérectomie totale avec annexectomie unilatérale ou bilatérale, par cœlioscopie
JKFC004	Myomectomie de l'utérus sans hystérotomie, par cœlioscopie
JKFC005	Hystérectomie totale, par cœlioscopie
JKFC006	Hystérectomie subtotale avec annexectomie unilatérale ou bilatérale, par cœlioscopie
JKGC001	Ablation d'un dispositif intra-utérin, par cœlioscopie
JKPC001	Section et/ou destruction de synéchies de l'utérus, par hystéroscopie avec guidage cœlioscopique
JLDC015	Suspension du dôme du vagin [Promontofixation du dôme vaginal], par cœlioscopie
JLMA003	Création d'un néovagin par clivage intervésicorectal, par coelioscopie et par abord périnéal 
JLMC001	Création d'un néovagin par pose de dispositif de traction progressive, par coelioscopie 
JRGA004	Ablation totale d'une bandelette synthétique infra-urétrale, par coelioscopie et par abord vaginal 
JRGC001	Ablation partielle d'une bandelette synthétique infra-urétrale, par coelioscopie
JSEC001	Transfert intratubaire d'embryon, par coelioscopie 
KEFC001	Surrénalectomie totale pour phéochromocytome, par cœlioscopie ou par rétropéritonéoscopie
KEFC002	Surrénalectomie partielle ou totale, par cœlioscopie ou par rétropéritonéoscopie
KZFC001	Exérèse de tumeur endocrinienne intraabdominale ectopique, par cœlioscopie
LFCC001	Ostéosynthèse et/ou arthrodèse antérieure de la colonne vertébrale, par cœlioscopie ou par rétropéritonéoscopie
LFFA014	Corporectomie vertébrale partielle ou totale, par abord direct avec préparation par coelioscopie ou par rétropéritonéoscopie 
LFHC001	Biopsie osseuse et/ou discale de la colonne vertébrale, par coelioscopie ou par rétropéritonéoscopie 
LLCC003	Suture de plaie ou de rupture récente de la coupole du diaphragme, par coelioscopie 
LLMC001	Cure d'une hernie rétrocostoxiphoïdienne, par cœlioscopie
LLMC004	Cure d'une hernie hiatale sans pose de prothèse, par cœlioscopie
LLMC019	Plastie d'une coupole du diaphragme pour éventration, par coelioscopie 
LMMC015	Cure d'éventration postopératoire de la paroi abdominale antérieure avec pose de prothèse, par cœlioscopie
LMMC020	Cure de hernie de la paroi abdominale antérieure après l'âge de 16 ans avec pose de prothèse, par cœlioscopie
ZCJC001	Évacuation de collection intraabdominale, par cœlioscopie ou par rétropéritonéoscopie
ZCQC001	Exploration de la cavité abdominale par cœlioscopie, avec hystéroscopie
ZCQC002	Exploration de la cavité abdominale, par cœlioscopie [Cœlioscopie exploratrice]

