DIAG	LIBELLE
T173	Corps étranger dans le larynx
T181	Corps étranger dans l'oesophage
T200	Brûlure de la tête et du cou, degré non précisé
T203	Brûlure du troisième degré de la tête et du cou
T212	Brûlure du second degré du tronc
T221	Brûlure du premier degré de l'épaule et du membre supérieur, sauf poignet et main
T225	Corrosion du premier degré de l'épaule et du membre supérieur, sauf poignet et main
T240	Brûlure de la hanche et du membre inférieur, sauf cheville et pied, degré non précisé
T243	Brûlure du troisième degré de la hanche et du membre inférieur, sauf cheville et pied
T310	Brûlures couvrant moins de 10% de la surface du corps
T311	Brûlures couvrant entre 10 et moins de 20% de la surface du corps
T349	Gelure de localisations autres et non précisées, avec nécrose des tissus
T810	Hémorragie et hématome compliquant un acte à visée diagnostique et thérapeutique, non classés ailleurs
T813	Désunion d'une plaie opératoire, non classée ailleurs
T8130	Éviscération postopératoire
T8138	Désunions d'une plaie opératoire non classées ailleurs, autres et non précisées
T814	Abcès de(s) : intraabdominal, plaie, sousphrénique, sutures. Sepsis après un acte à visée diagnostique et thérapeutique
T817	Complications vasculaires consécutives à un acte à visée diagnostique et thérapeutique, non classées ailleurs
T818	Autres complications d'un acte à visée diagnostique et thérapeutique, non classées ailleurs
T819	Complication non précisée d'un acte à visée diagnostique et thérapeutique
T835	Infection et réaction inflammatoire dues à une prothèse, un implant et une greffe de l'appareil urinaire
T840	Complication mécanique d'une prothèse articulaire interne
T869	Échec et rejet d'un organe et d'un tissu greffés non précisés
T889	Complication de soins chirurgicaux et médicaux, sans précision
Y69	Accident et complication au cours d'un acte médical et chirurgical, sans précision
Y831	Intervention chirurgicale avec implantation d'une prothèse interne à l'origine de réactions anormales du patient ou de complications ultérieures, sans mention d'accident au cours de l'intervention
Y834	Autres interventions chirurgicales réparatrices à l'origine de réactions anormales du patient ou de complications ultérieures, sans mention d'accident au cours de l'intervention
Z419	Thérapie sans raison médicale, sans précision
Z420	Soins de contrôle comprenant une opération plastique de la tête et du cou
Z422	Soins de contrôle comprenant une opération plastique d'autres parties du tronc
Z424	Soins de contrôle comprenant une opération plastique des extrémités inférieures
Z428	Soins de contrôle comprenant une opération plastique d'autres parties du corps
Z900	Absence acquise d'une partie de la tête et du cou
Z908	Absence acquise d'autres organes
