CODE	CIM.CMA	NIVEAU	DIAG	LISTE_RACINE	LIBELLE
A511	A51.1	2	911	-	SYPHILIS ANALE IRE.
A512	A51.2	2	934	-	SYPHILIS IRE. D'AUTRES LOC. 
A513	A51.3	2	944	-	SYPHILIS IIRE. DE LA PEAU ET DES MUQ. 
A514	A51.4	2	934	-	SYPHILIS IIRE., NCA
A515	A51.5	2	934	-	SYPHILIS PRECOCE, LATENTE
A519	A51.9	2	300	-	SYPHILIS PRECOCE, SAI
A520	A52.0	2	601	-	SYPHILIS CARDIO-VASC. 
A521	A52.1	2	763	-	SYPHILIS NERV. SYMPT.
A522	A52.2	2	885	-	SYPHILIS NERV. ASYMPT.
A523	A52.3	2	763	-	SYPHILIS NERV., SAI
A527	A52.7	2	601	-	FORMES TARDIVES DE SYPHILIS SYMPT., NCA
A528	A52.8	2	601	-	SYPHILIS TARDIVE, LATENTE
A529	A52.9	2	763	-	SYPHILIS TARDIVE, SAI
A530	A53.0	2	245	-	SYPHILIS LATENTE 
A539	A53.9	2	245	-	SYPHILIS, SAI 
A540	A54.0	2	734	-	INFECT. GONO. DE LA PARTIE INF. DE L'APP. GEN-URIN. SAI
A541	A54.1	2	734	-	INFECT. GONO. DE LA PARTIE INF. DE L'APP. GEN-URIN., AVEC ABCES 
A542	A54.2	2	734	-	PELVIPERITONITE GONO. ET AUTRES INFECT. GEN-URIN. GONO. 
A544	A54.4	2	522	-	INFECT. GONO. DU SYST. OSTEO-ARTIC. ET DES MUSCLES 
A560	A56.0	2	476	-	INFECT. A CHLAMYDIA DE LA PARTIE INF. DE L'APP. GEN-URIN.
A561	A56.1	2	476	-	INFECT. A CHLAMYDIA, PELVI-PERIT. ET DES AUTRES ORG. GEN-
A562	A56.2	2	476	-	INFECT. A CHLAMYDIA DE L'APP. GEN-URIN., SAI
A590	A59.0	2	476	-	TRICHOMONASE URO-GEN.
A598	A59.8	2	569	-	LOC. NCA, DE TRICHOMONASE
A599	A59.9	2	476	-	TRICHOMONASE, SAI
A600	A60.0	2	350	-	INFECT. DES ORG. GEN. ET DE L'APP. GEN-URIN. PAR LE VIRUS DE 
A601	A60.1	2	516	-	INFECT. MARGE CUTANEE DE L'ANUS ET RECTUM, PAR LE VIRUS 
A609	A60.9	2	887	-	INFECT. ANO-GEN. PAR LE VIRUS DE L'HERPES, SAI 
A750	A75.0	2	315	-	TYPHUS EPIDEMIQUE A POUX DU A RICKETTSIA PROWAZEKII
A751	A75.1	2	315	-	TYPHUS RESURGENT
A752	A75.2	2	315	-	TYPHUS A RICKETTSIA TYPHI 
A753	A75.3	2	315	-	TYPHUS A RICKETTSIA TSUTSUGAMUSHI 
A759	A75.9	2	315	-	TYPHUS, SAI 
A770	A77.0	2	315	-	FIEVRE POURPREE A RICKETTSIA RICKETTSII 
A771	A77.1	2	315	-	FIEVRE POURPREE A RICKETTSIA CONORII 
A772	A77.2	2	315	-	FIEVRE POURPREE DUE A RICKETTSIA SIBIRICA
A773	A77.3	2	315	-	FIEVRE POURPREE DUE A RICKETTSIA AUSTRALIS 
A778	A77.8	2	315	-	FIEVRES POURPREES, NCA
A779	A77.9	2	315	-	FIEVRE POURPREE, SAI 
A78	A78	2	315	-	FIEVRE Q 
A790	A79.0	2	315	-	FIEVRES DES TRANCHEES 
A791	A79.1	2	315	-	RICKETTSIOSE VARICELLIFORME DUE A RICKETTSIA AKARI 
A798	A79.8	2	315	-	TYPES PREC. DE RICKETTSIOSE, NCA
A799	A79.9	2	742	-	RICKETTSIOSE, SAI
A810	A81.0	2	433	-	MAL. DE CREUTZFELDT-JAKOB
A811	A81.1	2	615	-	PANENCEPHALITE SCLEROSANTE SUBAIG.
A812	A81.2	2	615	-	LEUCOENCEPHALOPATHIE MULTIFOCALE
A818	A81.8	2	615	-	INFECT. ATYPIQUES A VIRUS, DU S.N.C., NCA
A819	A81.9	2	433	-	INFECT. ATYPIQUE A VIRUS, DU S.N.C., SAI
A870	A87.0	2	738	-	MENINGITE A ENTEROVIRUS
A871	A87.1	2	738	-	MENINGITE A ADENOVIRUS 
A878	A87.8	2	738	-	MENINGITES VIRALES, NCA 
A879	A87.9	2	738	-	MENINGITE VIRALE, SAI
A920	A92.0	2	846	-	FIEVRE DE CHIKUNGUNYA
A970	A97.0	2	846	-	DENGUE SANS SIGNE D'ALERTE 
A971	A97.1	2	846	-	DENGUE AVEC SIGNES D'ALERTE
A972	A97.2	2	846	-	DENGUE SÉVÈRE 
A979	A97.9	2	846	-	DENGUE, SANS PRÉCISION
B000	B00.0	2	737	-	ECZEMA HERPETIQUE
B001	B00.1	2	737	-	DERMITE VESICULAIRE DUE AU VIRUS DE L'HERPES
B002	B00.2	2	127	-	GINGIVO-STOMATITE ET PHARYNGO-AMYGDALITE DUE AU VIRUS 
B003	B00.3	2	170	-	MENINGITE DUE AU VIRUS DE L'HERPES 
B005	B00.5	2	681	-	AFF. OCULAIRES DUES AU VIRUS DE L'HERPES 
B008	B00.8	2	792	-	INFECT. DUE AU VIRUS DE L'HERPES, NCA
B009	B00.9	2	735	-	INFECT. DUE AU VIRUS DE L'HERPES, SAI
B010	B01.0	2	492	-	MENINGITE VARICELLEUSE 
B021	B02.1	2	371	-	MENINGITE ZOSTERIENNE
B022	B02.2	2	113	-	ZONA ACCOMPAGNE D'AUTRES MANIF. NEURO.
B023	B02.3	2	681	-	ZONA OPHTALMIQUE 
B027	B02.7	2	450	-	ZONA DISSEMINE
B028	B02.8	2	450	-	ZONA AVEC AUTRES COMPLIC.
B029	B02.9	2	691	-	ZONA, SAI
B051	B05.1	2	920	-	ROUGEOLE COMPLIQ. D'UNE MENINGITE 
B060	B06.0	2	790	-	RUBEOLE AVEC COMPLIC. NEURO. 
B220	B22.0	2	625	-	MAL. PAR VIH A L'ORIGINE D'UNE ENCEPHALOPATHIE
B222	B22.2	2	770	-	MAL. PAR VIH A L'ORIGINE D'UN SYND. CACHECTIQUE
B260	B26.0	2	803	-	ORCHITE OURLIENNE
B261	B26.1	2	471	-	MENINGITE OURLIENNE 
B263	B26.3	2	151	-	PANCREATITE OURLIENNE
B268	B26.8	2	463	-	OREILLONS AVEC AUTRES COMPLIC.
B269	B26.9	2	618	-	OREILLONS SAI 
B360	B36.0	2	183	-	PITYRIASIS VERSICOLOR 
B361	B36.1	2	183	-	TINEA NIGRA 
B362	B36.2	2	183	-	PIEDRA BLANCHE
B363	B36.3	2	183	-	PIEDRA NOIRE
B368	B36.8	2	183	-	MYCOSES SUPERF. PREC., NCA
B369	B36.9	2	183	-	MYCOSE SUPERF., SAI
B370	B37.0	2	918	-	STOMATITE A CANDIDA 
B379	B37.9	2	180	-	CANDIDOSE, SAI
B441	B44.1	2	390	-	ASPERGILLOSES PULM., NCA
B442	B44.2	2	553	-	ASPERGILLOSE AMYGDALIENNE 
B448	B44.8	2	553	-	ASPERGILLOSE, NCA
B449	B44.9	2	293	-	ASPERGILLOSE, SAI
B470	B47.0	2	958	-	EUMYCETOME
B471	B47.1	2	958	-	ACTINOMYCETOME
B479	B47.9	2	958	-	MYCETOME, SAI 
B480	B48.0	2	958	-	LOBOMYCOSE
B481	B48.1	2	958	-	RHINOSPORIDOSE
B482	B48.2	2	958	-	ALLESCHERIASE 
B483	B48.3	2	958	-	GEOTRICHOSE 
B484	B48.4	2	958	-	PENICILLIOSE
B487	B48.7	2	958	-	MYCOSES OPPORTUNISTES
B488	B48.8	2	292	-	MYCOSES PREC., NCA
B500	B50.0	2	952	-	PALUDISME A PLASMODIUM FALCIPARUM AVEC COMPLIC. CEREB.
B508	B50.8	2	79	-	FORMES SEVERES ET COMPLIQ. DE PALUDISME A PLASMODIUM 
B510	B51.0	2	79	-	PALUDISME A PLASMODIUM VIVAX, AVEC RUPTURE DE LA RATE 
B518	B51.8	2	79	-	PALUDISME A PLASMODIUM VIVAX, AVEC AUTRES COMPLIC.
B520	B52.0	2	79	-	PALUDISME A PLASMODIUM MALARIAE, AVEC ATTEINTE RENALE
B528	B52.8	2	79	-	PALUDISME A PLASMODIUM MALARIAE, AVEC AUTRES COMPLIC.
B550	B55.0	2	79	-	LEISHMANIOSE VISCERALE 
B560	B56.0	2	743	-	TRYPANOSOMIASE A TRYPANOSOMA GAMBIENSE
B561	B56.1	2	743	-	TRYPANOSOMIASE A TRYPANOSOMA RHODESIENSE
B569	B56.9	2	743	-	TRYPANOSOMIASE AFRICAINE, SAI
B570	B57.0	2	743	-	FORME AIG. DE LA MAL. DE CHAGAS, AVEC ATTEINTE CARD.
B571	B57.1	2	743	-	FORME AIG. DE LA MAL. DE CHAGAS SANS ATTEINTE CARD. OU SAI 
B572	B57.2	2	1022	-	MAL. DE CHAGAS AVEC ATTEINTE CARD. OU SAI 
B573	B57.3	2	743	-	MAL. DE CHAGAS AVEC ATTEINTE DE L'APP. DIG.
B574	B57.4	2	1022	-	MAL. DE CHAGAS AVEC ATTEINTE DU SYST. NERV. 
B575	B57.5	2	743	-	MAL. DE CHAGAS AVEC ATTEINTE D'AUTRES ORG. 
B600	B60.0	2	79	-	BABESIOSE
B601	B60.1	2	79	-	ACANTHAMOEBIOSE
B602	B60.2	2	122	-	NAEGLERIASE 
B6080	B60.80	2	79	-	MICROSPORIDIOSE EXTRA-INTESTINALE 
B6088	B60.88	2	79	-	MAL. PRECISEE DUE A PROTOZOAIRES NCA
B660	B66.0	2	554	-	OPISTHORCHIASE
B661	B66.1	2	554	-	CLONORCHIASE
B662	B66.2	2	554	-	DICROCOELIASE 
B663	B66.3	2	554	-	FASCIOLASE
B664	B66.4	2	58	-	PARAGONIMIASE 
B665	B66.5	2	448	-	FASCIOLOPSIASE
B668	B66.8	2	554	-	INFECT. PAR DOUVES PREC., NCA 
B669	B66.9	2	557	-	INFECT. PAR DOUVES, SAI
B670	B67.0	2	459	-	INFECT. HEPATIQUE A ECHINOCOCCUS GRANULOSUS
B671	B67.1	2	266	-	INFECT. PULM. A ECHINOCOCCUS GRANULOSUS
B672	B67.2	2	50	-	INFECT. OSSEUSE A ECHINOCOCCUS GRANULOSUS
B673	B67.3	2	459	-	INFECT. A ECHINOCOCCUS GRANULOSUS, AUTRES ET A LOC. 
B674	B67.4	2	722	-	INFECT. A ECHINOCOCCUS GRANULOSUS, SAI
B675	B67.5	2	459	-	INFECT. HEPATIQUE A ECHINOCOCCUS MULTILOCULARIS
B676	B67.6	2	459	-	INFECT. A ECHINOCOCCUS MULTILOCULARIS, AUTRES ET A LOC. 
B677	B67.7	2	459	-	INFECT. A ECHINOCOCCUS MULTILOCULARIS, SAI
B678	B67.8	2	459	-	INFECT. HEPATIQUE A ECHINOCOCCUS, SAI 
B679	B67.9	2	722	-	INFECT. A ECHINOCOCCUS, NCA OU SAI
B680	B68.0	2	76	-	INFECT. A TAENIA SOLIUM 
B681	B68.1	2	76	-	INFECT. A TAENIA SAGINATA
B689	B68.9	2	76	-	INFECT. A TAENIA, SAI
B690	B69.0	2	642	-	CYSTICERCOSE DU S.N.C. 
B691	B69.1	2	800	-	CYSTICERCOSE DE L'OEIL 
B698	B69.8	2	1032	-	CYSTICERCOSE, AUTRES LOC.
B699	B69.9	2	600	-	CYSTICERCOSE, SAI
B700	B70.0	2	977	-	DIPHYLLOBOTHRIASE
B701	B70.1	2	977	-	SPARGANOSE
B710	B71.0	2	76	-	HYMENOLEPIASE 
B711	B71.1	2	76	-	INFECT. A DIPYLIDIUM 
B718	B71.8	2	76	-	INFECT. PAR CESTODES, PREC., NCA 
B719	B71.9	2	76	-	INFECT. PAR CESTODES, SAI
B72	B72	2	977	-	DRACUNCULOSE
B73	B73	2	977	-	ONCHOCERCOSE
B740	B74.0	2	725	-	FILARIOSE A WUCHERERIA BANCROFTI
B741	B74.1	2	725	-	FILARIOSE A BRUGIA MALAYI 
B742	B74.2	2	725	-	FILARIOSE A BRUGIA TIMORI
B743	B74.3	2	725	-	LOASE
B744	B74.4	2	725	-	MANSONELLOSE
B748	B74.8	2	725	-	FILARIOSES, NCA
B749	B74.9	2	725	-	FILARIOSE, SAI
B75	B75	2	977	-	TRICHINOSE
B760	B76.0	2	76	-	ANKYLOSTOMOSE 
B761	B76.1	2	76	-	NECATOROSE
B768	B76.8	2	76	-	ANKYLOSTOMIASES, NCA
B769	B76.9	2	76	-	ANKYLOSTOMIASE, SAI
B830	B83.0	2	1019	-	LARVA MIGRANS VISCERALE
B831	B83.1	2	1019	-	GNATHOSTOMIASE
B832	B83.2	2	1019	-	ANGIOSTRONGYLOIDOSE A PARASTRONGYLUS CANTONENSIS 
B833	B83.3	2	970	-	SYNGAMOSE
B834	B83.4	2	1019	-	HIRUDINIASE INT. 
B838	B83.8	2	1019	-	HELMINTHIASES PREC., NCA
B850	B85.0	2	461	-	PEDICULOSE DUE A PEDICULUS HUMANUS CAPITIS 
B851	B85.1	2	461	-	PEDICULOSE DUE A PEDICULUS HUMANUS CORPORIS
B852	B85.2	2	461	-	PEDICULOSE, SAI
B853	B85.3	2	461	-	PHTIRIASE
B854	B85.4	2	461	-	INFESTATION MIXTE, PEDICULOSE ET PHTIRIASE 
B86	B86	2	461	-	GALE
B870	B87.0	2	758	-	MYIASE CUTANEE
B871	B87.1	2	758	-	MYIASE DES PLAIES CUTANEES
B872	B87.2	2	622	-	MYIASE OCULAIRE
B873	B87.3	2	874	-	MYIASE RHINOPHARYNGEE 
B874	B87.4	2	874	-	MYIASE AURICULAIRE
B878	B87.8	2	442	-	MYIASE D'AUTRES LOC. 
B879	B87.9	2	367	-	MYIASE, SAI 
B950	B95.0	2	844	-	STREPTO., GROUPE A, CAUSE DE MAL. CLASSEES DANS D'AUTRES 
B951	B95.1	2	723	-	STREPTO., GROUPE B, CAUSE DE MAL. CLASSEES DANS D'AUTRES 
B952	B95.2	2	1009	-	STREPTOCOQUES, GROUPE D, ET ENTÉROCOQUES, CAUSE DE MALADIES CLASSÉES DANS D'AUTRES CHAPITRES 
B953	B95.3	2	155	-	STREPTO. PNEUMONIAE, CAUSE DE MAL. CLASSEES DANS 
B954	B95.4	2	682	-	STREPTO., CAUSE DE MAL. CLASSEES DANS D'AUTRES CHAP., NCA
B955	B95.5	2	95	-	STREPTO. SAI, CAUSE DE MAL. CLASSEES DANS D'AUTRES CHAP.
B957	B95.7	2	191	-	STAPHYLO. NCA, CAUSE DE MAL. CLASSEES DANS D'AUTRES CHAP.
B958	B95.8	2	959	-	STAPHYLO. SAI, CAUSE DE MAL. CLASSEES DANS D'AUTRES CHAP.
B961	B96.1	2	479	-	KLEBSIELLA PNEUMONIAE, CAUSE DE MAL. CLASSEES DANS 
B962	B96.2	2	102	-	ESCHERICHIA COLI, CAUSE DE MAL. CLASSEES DANS D'AUTRES 
B963	B96.3	2	213	-	HAEMOPHILUS INFLUENZAE, CAUSE DE MAL. CLASSEES DANS 
B9680	B96.80	2	134	-	ACINETOBACTER, CAUSE DE MAL. CLASSEES DANS D'AUTRES 
B9681	B96.81	2	134	-	CITROBACTER, CAUSE DE MAL. CLASSEES DANS D'AUTRES CHAP. 
C01	C01	2	38	-	T.M. DE LA BASE DE LA LANGUE 
C030	C03.0	2	38	-	T.M. DE LA GENCIVE SUP.
C031	C03.1	2	38	-	T.M. DE LA GENCIVE INF.
C039	C03.9	2	38	-	T.M. DE LA GENCIVE, SAI
C040	C04.0	2	38	-	T.M. DU PLANCHER ANT. DE LA BOUCHE
C041	C04.1	2	38	-	T.M. DU PLANCHER LAT. DE LA BOUCHE 
C048	C04.8	2	38	-	T.M. A LOC. CONTIGUES DU PLANCHER DE LA BOUCHE
C049	C04.9	2	38	-	T.M. DU PLANCHER DE LA BOUCHE, SAI
C050	C05.0	2	38	-	T.M. DE LA VOUTE PALATINE
C051	C05.1	2	38	-	T.M. DU VOILE DU PALAIS
C052	C05.2	2	38	-	T.M. DE LA LUETTE
C058	C05.8	2	38	-	T.M. A LOC. CONTIGUES DU PALAIS 
C059	C05.9	2	38	-	T.M. DU PALAIS, SAI
C060	C06.0	2	38	-	T.M. DE LA MUQ. DE LA JOUE
C061	C06.1	2	38	-	T.M. DU VESTIBULE DE LA BOUCHE
C062	C06.2	2	38	-	T.M. DE LA REGION RETROMOLAIRE 
C068	C06.8	2	38	-	T.M. A LOC. CONTIGUES DE LA BOUCHE, PARTIES NCA OU SAI
C069	C06.9	2	956	-	T.M. DE LA BOUCHE, SAI 
C07	C07	2	38	-	T.M. DE LA GLD. PAROTIDE 
C080	C08.0	2	38	-	T.M. DE LA GLD. SOUS-MAXILLAIRE 
C081	C08.1	2	38	-	T.M. DE LA GLD. SUBLINGUALE
C088	C08.8	2	38	-	T.M. A LOC. CONTIGUES DES GLD. SALIVAIRES PPAL.
C089	C08.9	2	38	-	T.M. DE LA GLD. SALIVAIRE, SAI
C100	C10.0	2	38	-	T.M. DU SILLON GLOSSO-EPIGLOTTIQUE 
C101	C10.1	2	38	-	T.M. DE LA FACE ANT. DE L'EPIGLOTTE
C102	C10.2	2	38	-	T.M. DE LA PAROI LAT. DE L'OROPHARYNX
C103	C10.3	2	38	-	T.M. DE LA PAROI POST. DE L'OROPHARYNX
C104	C10.4	2	38	-	T.M. DE LA FENTE BRANCHIALE
C108	C10.8	2	38	-	T.M. A LOC. CONTIGUES DE L'OROPHARYNX 
C109	C10.9	2	38	-	T.M. DE L'OROPHARYNX, SAI
C110	C11.0	2	38	-	T.M. DE LA PAROI SUP. DU RHINOPHARYNX
C111	C11.1	2	38	-	T.M. DE LA PAROI POST. DU RHINOPHARYNX
C112	C11.2	2	38	-	T.M. DE LA PAROI LAT. DU RHINOPHARYNX 
C113	C11.3	2	38	-	T.M. DE LA PAROI ANT. DU RHINOPHARYNX 
C118	C11.8	2	38	-	T.M. A LOC. CONTIGUES DE RHINOPHARYNX
C119	C11.9	2	38	-	T.M. DU RHINOPHARYNX, SAI 
C12	C12	2	38	-	T.M. DU SINUS PIRIFORME
C130	C13.0	2	38	-	T.M. DE LA REGION RETRO-CRICOIDIENNE 
C131	C13.1	2	38	-	T.M. DU REPLI ARY-EPIGLOTTIQUE 
C132	C13.2	2	38	-	T.M. DE LA PAROI POST. DE L'HYPOPHARYNX 
C138	C13.8	2	38	-	T.M. A LOC. CONTIGUES DE L'HYPOPHARYNX
C139	C13.9	2	38	-	T.M. DE L'HYPOPHARYNX, SAI
C142	C14.2	2	38	-	T.M. DE L'ANNEAU DE WALDEYER
C148	C14.8	2	38	-	T.M. A LOC. CONTIGUES DE LA LEVRE, DE LA CAV. BUCC. ET DU 
C161	C16.1	2	323	12	T.M. DU FUNDUS
C162	C16.2	2	323	12	T.M. DU CORPS DE L'ESTOMAC
C163	C16.3	2	323	12	T.M. DE L'ANTRE PYLORIQUE 
C164	C16.4	2	323	12	T.M. DU PYLORE
C165	C16.5	2	323	12	T.M. DE LA PT. COURBURE DE L'ESTOMAC, SAI
C166	C16.6	2	323	12	T.M. DE LA GD. COURBURE DE L'ESTOMAC, SAI
C168	C16.8	2	323	12	T.M. A LOC. CONTIGUES DE L'ESTOMAC 
C169+0	C16.9+0	2	323	12	T.M. ESTOMAC FAM. GENE CDH1
C171	C17.1	2	323	12	T.M. DU JEJUNUM
C172	C17.2	2	323	12	T.M. DE L'ILEON
C173	C17.3	2	323	12	T.M. DU DIVERTICULE DE MECKEL
C178	C17.8	2	323	12	T.M. A LOC. CONTIGUES DE L'INTESTIN GRELE
C180	C18.0	2	480	-	T.M. DU CAECUM
C181	C18.1	2	480	11	T.M. DE L'APPENDICE
C182	C18.2	2	480	-	T.M. DU COLON ASCENDANT
